Time,Temperature_F,Humidity_%,Dew_Point_F
2024-04-01T00:00,49.28,93,47.34
2024-04-01T01:00,48.74,96,47.65
2024-04-01T02:00,48.56,97,47.75
2024-04-01T03:00,48.02,97,47.21
2024-04-01T04:00,48.02,96,46.93
2024-04-01T05:00,48.02,97,47.21
2024-04-01T06:00,47.48,98,46.94
2024-04-01T07:00,47.84,98,47.3
2024-04-01T08:00,49.1,97,48.29
2024-04-01T09:00,51.62,95,50.23
2024-04-01T10:00,56.3,89,53.1
2024-04-01T11:00,58.28,86,54.11
2024-04-01T12:00,58.64,86,54.46
2024-04-01T13:00,56.84,87,53.01
2024-04-01T14:00,55.94,85,51.49
2024-04-01T15:00,59.18,78,52.32
2024-04-01T16:00,60.44,75,52.48
2024-04-01T17:00,59.18,76,51.62
2024-04-01T18:00,59.54,74,51.24
2024-04-01T19:00,56.48,80,50.38
2024-04-01T20:00,53.06,86,48.98
2024-04-01T21:00,49.46,89,46.35
2024-04-01T22:00,49.82,88,46.41
2024-04-01T23:00,48.2,94,46.55
2024-04-02T00:00,47.66,96,46.58
2024-04-02T01:00,47.3,96,46.22
2024-04-02T02:00,47.66,94,46.02
2024-04-02T03:00,47.66,92,45.45
2024-04-02T04:00,46.4,92,44.2
2024-04-02T05:00,47.48,88,44.11
2024-04-02T06:00,46.94,91,44.45
2024-04-02T07:00,46.58,95,45.23
2024-04-02T08:00,46.94,100,46.94
2024-04-02T09:00,48.02,99,47.75
2024-04-02T10:00,49.1,95,47.73
2024-04-02T11:00,49.64,93,47.7
2024-04-02T12:00,51.8,88,48.36
2024-04-02T13:00,55.76,82,50.35
2024-04-02T14:00,58.1,79,51.62
2024-04-02T15:00,58.82,81,53.0
2024-04-02T16:00,59.18,85,54.67
2024-04-02T17:00,61.7,80,55.46
2024-04-02T18:00,58.28,85,53.79
2024-04-02T19:00,55.76,90,52.87
2024-04-02T20:00,53.24,93,51.27
2024-04-02T21:00,47.66,98,47.12
2024-04-02T22:00,46.76,98,46.23
2024-04-02T23:00,46.4,100,46.4
2024-04-03T00:00,46.4,99,46.13
2024-04-03T01:00,46.58,99,46.31
2024-04-03T02:00,46.4,100,46.4
2024-04-03T03:00,46.76,99,46.49
2024-04-03T04:00,46.94,99,46.67
2024-04-03T05:00,47.3,99,47.03
2024-04-03T06:00,47.66,99,47.39
2024-04-03T07:00,48.2,99,47.93
2024-04-03T08:00,49.28,99,49.01
2024-04-03T09:00,47.3,100,47.3
2024-04-03T10:00,48.2,100,48.2
2024-04-03T11:00,51.44,95,50.06
2024-04-03T12:00,52.52,100,52.52
2024-04-03T13:00,55.94,99,55.66
2024-04-03T14:00,59.54,97,58.69
2024-04-03T15:00,60.26,100,60.26
2024-04-03T16:00,58.1,100,58.1
2024-04-03T17:00,58.46,92,56.14
2024-04-03T18:00,58.46,89,55.23
2024-04-03T19:00,57.74,89,54.52
2024-04-03T20:00,55.58,87,51.77
2024-04-03T21:00,50.0,92,47.77
2024-04-03T22:00,48.2,100,48.2
2024-04-03T23:00,47.48,94,45.84
2024-04-04T00:00,46.58,93,44.67
2024-04-04T01:00,46.04,93,44.13
2024-04-04T02:00,43.88,97,43.08
2024-04-04T03:00,42.62,97,41.83
2024-04-04T04:00,41.36,98,40.84
2024-04-04T05:00,40.64,97,39.86
2024-04-04T06:00,40.28,95,38.96
2024-04-04T07:00,39.56,95,38.25
2024-04-04T08:00,42.08,94,40.48
2024-04-04T09:00,46.4,89,43.34
2024-04-04T10:00,49.46,72,40.81
