index,median_occ
0 days 00:00:00,0.0
0 days 00:15:00,0.0
0 days 00:30:00,0.0
0 days 00:45:00,0.0
0 days 01:00:00,0.0
0 days 01:15:00,0.0
0 days 01:30:00,0.0
0 days 01:45:00,0.0
0 days 02:00:00,0.0
0 days 02:15:00,0.0
0 days 02:30:00,0.0
0 days 02:45:00,0.0
0 days 03:00:00,0.0
0 days 03:15:00,0.0
0 days 03:30:00,0.0
0 days 03:45:00,0.0
0 days 04:00:00,0.0
0 days 04:15:00,0.0
0 days 04:30:00,0.0
0 days 04:45:00,0.0
0 days 05:00:00,0.0
0 days 05:15:00,0.0
0 days 05:30:00,0.0
0 days 05:45:00,0.0
0 days 06:00:00,0.0
0 days 06:15:00,0.0
0 days 06:30:00,0.0
0 days 06:45:00,0.0
0 days 07:00:00,0.0
0 days 07:15:00,0.0
0 days 07:30:00,0.0
0 days 07:45:00,1.0
0 days 08:00:00,1.0
0 days 08:15:00,2.0
0 days 08:30:00,2.5
0 days 08:45:00,3.0
0 days 09:00:00,4.0
0 days 09:15:00,6.5
0 days 09:30:00,8.5
0 days 09:45:00,11.0
0 days 10:00:00,14.0
0 days 10:15:00,15.0
0 days 10:30:00,16.5
0 days 10:45:00,18.0
0 days 11:00:00,17.5
0 days 11:15:00,17.5
0 days 11:30:00,16.0
0 days 11:45:00,16.0
0 days 12:00:00,12.5
0 days 12:15:00,13.5
0 days 12:30:00,14.5
0 days 12:45:00,15.0
0 days 13:00:00,17.0
0 days 13:15:00,21.0
0 days 13:30:00,22.0
0 days 13:45:00,23.0
0 days 14:00:00,18.5
0 days 14:15:00,19.5
0 days 14:30:00,20.0
0 days 14:45:00,19.5
0 days 15:00:00,17.0
0 days 15:15:00,17.5
0 days 15:30:00,18.0
0 days 15:45:00,20.0
0 days 16:00:00,22.0
0 days 16:15:00,22.5
0 days 16:30:00,22.0
0 days 16:45:00,20.5
0 days 17:00:00,19.0
0 days 17:15:00,15.5
0 days 17:30:00,14.0
0 days 17:45:00,12.0
0 days 18:00:00,9.5
0 days 18:15:00,7.0
0 days 18:30:00,5.0
0 days 18:45:00,6.0
0 days 19:00:00,5.0
0 days 19:15:00,6.0
0 days 19:30:00,5.0
0 days 19:45:00,4.0
0 days 20:00:00,4.0
0 days 20:15:00,4.0
0 days 20:30:00,4.0
0 days 20:45:00,4.0
0 days 21:00:00,4.0
0 days 21:15:00,4.5
0 days 21:30:00,4.0
0 days 21:45:00,4.0
0 days 22:00:00,2.5
0 days 22:15:00,3.0
0 days 22:30:00,2.5
0 days 22:45:00,3.0
0 days 23:00:00,2.5
0 days 23:15:00,2.5
0 days 23:30:00,2.5
0 days 23:45:00,2.5
1 days 00:00:00,2.0
1 days 00:15:00,2.0
1 days 00:30:00,2.0
1 days 00:45:00,2.0
1 days 01:00:00,2.0
1 days 01:15:00,1.0
1 days 01:30:00,1.0
1 days 01:45:00,1.0
1 days 02:00:00,1.0
1 days 02:15:00,1.0
1 days 02:30:00,1.0
1 days 02:45:00,1.0
1 days 03:00:00,1.0
1 days 03:15:00,1.0
1 days 03:30:00,1.0
1 days 03:45:00,1.0
1 days 04:00:00,0.0
1 days 04:15:00,0.0
1 days 04:30:00,0.0
1 days 04:45:00,0.0
1 days 05:00:00,0.0
1 days 05:15:00,0.0
1 days 05:30:00,0.0
1 days 05:45:00,0.0
1 days 06:00:00,0.0
1 days 06:15:00,0.0
1 days 06:30:00,0.0
1 days 06:45:00,0.0
1 days 07:00:00,0.0
1 days 07:15:00,1.0
1 days 07:30:00,1.0
1 days 07:45:00,1.0
1 days 08:00:00,2.0
1 days 08:15:00,1.0
1 days 08:30:00,2.0
1 days 08:45:00,3.0
1 days 09:00:00,4.0
1 days 09:15:00,5.0
1 days 09:30:00,7.0
1 days 09:45:00,9.0
1 days 10:00:00,13.0
1 days 10:15:00,13.0
1 days 10:30:00,14.0
1 days 10:45:00,16.0
1 days 11:00:00,18.0
1 days 11:15:00,19.0
1 days 11:30:00,20.0
1 days 11:45:00,18.0
1 days 12:00:00,17.0
1 days 12:15:00,15.0
1 days 12:30:00,13.0
1 days 12:45:00,13.0
1 days 13:00:00,16.0
1 days 13:15:00,16.0
1 days 13:30:00,15.0
1 days 13:45:00,15.0
1 days 14:00:00,15.0
1 days 14:15:00,15.0
1 days 14:30:00,17.0
1 days 14:45:00,16.0
1 days 15:00:00,20.0
1 days 15:15:00,21.0
1 days 15:30:00,21.0
1 days 15:45:00,20.0
1 days 16:00:00,22.0
1 days 16:15:00,20.0
1 days 16:30:00,19.0
1 days 16:45:00,19.0
1 days 17:00:00,18.0
1 days 17:15:00,15.0
1 days 17:30:00,16.0
1 days 17:45:00,14.0
1 days 18:00:00,11.0
1 days 18:15:00,8.0
1 days 18:30:00,7.0
1 days 18:45:00,6.0
1 days 19:00:00,6.0
1 days 19:15:00,6.0
1 days 19:30:00,5.0
1 days 19:45:00,4.0
1 days 20:00:00,4.0
1 days 20:15:00,4.0
1 days 20:30:00,3.0
1 days 20:45:00,4.0
1 days 21:00:00,4.0
1 days 21:15:00,1.0
1 days 21:30:00,1.0
1 days 21:45:00,2.0
1 days 22:00:00,1.0
1 days 22:15:00,1.0
1 days 22:30:00,1.0
1 days 22:45:00,1.0
1 days 23:00:00,2.0
1 days 23:15:00,1.0
1 days 23:30:00,1.0
1 days 23:45:00,1.0
2 days 00:00:00,1.0
2 days 00:15:00,1.0
2 days 00:30:00,1.0
2 days 00:45:00,1.0
2 days 01:00:00,1.0
2 days 01:15:00,1.0
2 days 01:30:00,1.0
2 days 01:45:00,1.0
2 days 02:00:00,1.0
2 days 02:15:00,1.0
2 days 02:30:00,1.0
2 days 02:45:00,0.0
2 days 03:00:00,0.0
2 days 03:15:00,0.0
2 days 03:30:00,0.0
2 days 03:45:00,0.0
